valor_estimado_1,confianza_1,valor_estimado_2,confianza_2,valor_estimado_3,confianza_3,valor_control,confianza_control,recomendacion
150,80,50,50,100,70,350,26.0,No
50,70,40,100,44,90,120,42.0,Si
50,75,15,45,75,60,200,92.0,No
34,60,18,70,34,60,30,16.0,No
90,70,65,80,60,75,250,45.0,Si
120,6,90,40,100,50,370,42.0,Si
50,70,40,50,30,70,40,39.0,No
120,75,75,60,75,80,300,82.0,Si
60,70,60,80,70,60,400,86.0,Si
100,85,60,100,60,80,220,94.0,Si
50,90,50,85,100,85,200,46.0,Si
150,80,22,80,50,90,170,27.0,No
200,70,220,75,90,70,450,20.0,Si
100,80,50,60,120,70,270,87.0,Si
50,80,25,80,35,75,110,25.0,Si
100,70,70,80,50,80,15,55.0,Si
120,82,30,70,50,70,200,78.0,Si
125,80,35,90,50,80,300,43.0,Si
80,80,50,95,50,90,200,14.0,No
40,60,18,60,35,60,150,63.0,Si
300,75,150,60,230,72,800,70.0,Sí
80,80,160,70,60,75,350,80.0,No
100,70,50,75,40,75,170,75.0,No
