valor_estimado_1,confianza_1,valor_estimado_2,confianza_2,valor_estimado_3,confianza_3,valor_desde,valor_hasta,confianza_entre,recomendacion
45,70,25,90,30,80,110,130,13,Si
30,70,40,90,35,90,120,150,90,No
55,80,30,80,45,80,120,140,65,Si
125,100,200,100,125,100,200,215,94,Si
30,80,20,60,40,70,600,700,19,No
20,70,15,80,25,65,20,35,76,Si
50,60,35,30,45,60,35,60,59,No
30,50,20,50,40,50,20,50,92,No
117,89,56,93,50,74,230,246,96,Si
100,80,50,60,120,50,270,300,70,No
80,80,50,90,50,90,180,200,95,Si
100,80,50,60,130,70,270,300,15,Si
70,75,80,75,60,80,200,250,70,Si
100,50,100,50,30,70,200,250,82,No
140,80,70,80,40,90,200,300,36,No
70,90,40,80,60,85,60,80,87,No
50,70,40,60,30,60,35,45,70,Si
55,80,30,90,50,100,120,14,95,No
50,75,40,70,55,80,50,70,91,No
150,90,50,80,200,75,300,350,52,Si
70,85,60,90,100,80,200,250,11,Si
75,90,75,60,50,80,75,100,14,No
60,80,40,70,40,50,30,80,96,Si
40,80,27,72,40,70,30,45,22,Si
50,90,50,80,100,80,150,200,71,No
200,70,180,50,100,80,450,465,31,No
50,80,30,80,40,100,50,100,50,Si
80,70,60,80,60,70,200,250,40,Si
30,80,25,70,30,80,80,90,17,No
175,80,50,90,70,85,200,250,46,No
